Time (UTC+05:30),Clicks,Impressions,CTR,Position
2026-04-10T23:30:00,0,2,0%,83
2026-04-11T00:30:00,0,2,0%,22.5
2026-04-11T01:30:00,0,1,0%,15
2026-04-11T02:30:00,1,2,50%,8.5
2026-04-11T03:30:00,0,0,0%,0
2026-04-11T04:30:00,0,0,0%,0
2026-04-11T05:30:00,0,1,0%,9
2026-04-11T06:30:00,0,6,0%,8.3
2026-04-11T07:30:00,0,3,0%,9.3
2026-04-11T08:30:00,0,5,0%,8.2
2026-04-11T09:30:00,0,6,0%,17.7
2026-04-11T10:30:00,3,7,42.86%,12.6
2026-04-11T11:30:00,1,13,7.69%,17.9
2026-04-11T12:30:00,0,3,0%,8
2026-04-11T13:30:00,3,11,27.27%,10.6
2026-04-11T14:30:00,3,15,20%,6.2
2026-04-11T15:30:00,2,11,18.18%,7.5
2026-04-11T16:30:00,1,13,7.69%,11.7
2026-04-11T17:30:00,1,8,12.5%,7.8
2026-04-11T18:30:00,5,19,26.32%,7
2026-04-11T19:30:00,10,26,38.46%,9.8
2026-04-11T20:30:00,5,11,45.45%,13.5
2026-04-11T21:30:00,0,0,0%,0
2026-04-11T22:30:00,0,0,0%,0